ticker,metric,period_end,period_type,value,unit,fy,fp,form,source,retrieved
QCOM,eps,2011-03-27,Q,0.59,USD/shares,2012,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2011-06-26,Q,0.61,USD/shares,2012,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2011-09-25,A,2.52,USD/shares,2013,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2011-09-25,Q,0.62,USD/shares,2012,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2011-12-25,Q,0.81,USD/shares,2013,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2012-03-25,Q,1.28,USD/shares,2013,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2012-06-24,Q,0.69,USD/shares,2013,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2012-09-30,A,3.51,USD/shares,2014,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2012-09-30,Q,0.73,USD/shares,2013,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2012-12-30,Q,1.09,USD/shares,2014,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2013-03-31,Q,1.06,USD/shares,2014,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2013-06-30,Q,0.9,USD/shares,2014,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2013-09-29,A,3.91,USD/shares,2015,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2013-09-29,Q,0.86,USD/shares,2014,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2013-12-29,Q,1.09,USD/shares,2015,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2014-03-30,Q,1.14,USD/shares,2015,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2014-06-29,Q,1.31,USD/shares,2015,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2014-09-28,A,4.65,USD/shares,2016,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2014-09-28,Q,1.11,USD/shares,2015,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2014-12-28,Q,1.17,USD/shares,2016,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2015-03-29,Q,0.63,USD/shares,2016,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2015-06-28,Q,0.73,USD/shares,2016,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2015-09-27,A,3.22,USD/shares,2017,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2015-09-27,Q,0.67,USD/shares,2016,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2015-12-27,Q,0.99,USD/shares,2017,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2016-03-27,Q,0.78,USD/shares,2017,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2016-06-26,Q,0.97,USD/shares,2017,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2016-09-25,A,3.81,USD/shares,2018,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2016-09-25,Q,1.07,USD/shares,2017,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2016-12-25,Q,0.46,USD/shares,2018,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2017-03-26,Q,0.5,USD/shares,2018,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2017-06-25,Q,0.57,USD/shares,2019,Q1,10-Q,SEC EDGAR,2026-06-15
QCOM,eps,2017-09-24,A,1.64,USD/shares,2019,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2017-09-24,Q,0.11,USD/shares,2019,Q1,10-Q,SEC EDGAR,2026-06-15
QCOM,eps,2017-12-24,Q,-4.05,USD/shares,2019,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2018-03-25,Q,0.22,USD/shares,2019,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2018-06-24,Q,0.81,USD/shares,2019,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2018-09-30,A,-3.39,USD/shares,2020,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2018-09-30,Q,-0.36,USD/shares,2019,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2018-12-30,Q,0.87,USD/shares,2020,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2019-03-31,Q,0.55,USD/shares,2020,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2019-06-30,Q,1.75,USD/shares,2020,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2019-09-29,A,3.59,USD/shares,2021,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2019-09-29,Q,0.42,USD/shares,2020,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2019-12-29,Q,0.8,USD/shares,2021,Q1,10-Q,SEC EDGAR,2026-06-15
QCOM,eps,2020-03-29,Q,0.41,USD/shares,2021,Q2,10-Q,SEC EDGAR,2026-06-15
QCOM,eps,2020-06-28,Q,0.74,USD/shares,2021,Q3,10-Q,SEC EDGAR,2026-06-15
QCOM,eps,2020-09-27,A,4.52,USD/shares,2022,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2020-09-27,Q,2.58,USD/shares,2020,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2020-12-27,Q,2.12,USD/shares,2022,Q1,10-Q,SEC EDGAR,2026-06-15
QCOM,eps,2021-03-28,Q,1.53,USD/shares,2022,Q2,10-Q,SEC EDGAR,2026-06-15
QCOM,eps,2021-06-27,Q,1.77,USD/shares,2022,Q3,10-Q,SEC EDGAR,2026-06-15
QCOM,eps,2021-09-26,A,7.87,USD/shares,2023,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2021-12-26,Q,2.98,USD/shares,2023,Q1,10-Q,SEC EDGAR,2026-06-15
QCOM,eps,2022-03-27,Q,2.57,USD/shares,2023,Q2,10-Q,SEC EDGAR,2026-06-15
QCOM,eps,2022-06-26,Q,3.29,USD/shares,2023,Q3,10-Q,SEC EDGAR,2026-06-15
QCOM,eps,2022-09-25,A,11.37,USD/shares,2024,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2022-12-25,Q,1.98,USD/shares,2024,Q1,10-Q,SEC EDGAR,2026-06-15
QCOM,eps,2023-03-26,Q,1.52,USD/shares,2024,Q2,10-Q,SEC EDGAR,2026-06-15
QCOM,eps,2023-06-25,Q,1.6,USD/shares,2024,Q3,10-Q,SEC EDGAR,2026-06-15
QCOM,eps,2023-09-24,A,6.42,USD/shares,2025,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2023-12-24,Q,2.46,USD/shares,2025,Q1,10-Q,SEC EDGAR,2026-06-15
QCOM,eps,2024-03-24,Q,2.06,USD/shares,2025,Q2,10-Q,SEC EDGAR,2026-06-15
QCOM,eps,2024-06-23,Q,1.88,USD/shares,2025,Q3,10-Q,SEC EDGAR,2026-06-15
QCOM,eps,2024-09-29,A,8.97,USD/shares,2025,FY,10-K,SEC EDGAR,2026-06-15
QCOM,eps,2024-12-29,Q,2.83,USD/shares,2026,Q1,10-Q,SEC EDGAR,2026-06-15
QCOM,eps,2025-03-30,Q,2.52,USD/shares,2026,Q2,10-Q,SEC EDGAR,2026-06-15
QCOM,eps,2025-06-29,Q,2.43,USD/shares,2025,Q3,10-Q,SEC EDGAR,2026-06-15
QCOM,eps,2025-09-28,A,5.01,USD/shares,2025,FY,10-K,SEC EDGAR,2026-06-15
