asof_date,ticker,name,pe_ttm,pe_forward,source
2026-07-21,EWJ,iShares MSCI Japan Index Fund,18.041834,,yfinance
2026-07-21,IWM,iShares Russell 2000 Index Fund,18.110289,,yfinance
2026-07-21,MDY,State Street SPDR S&P MIDCAP 40,21.846992,,yfinance
2026-07-21,QQQ,"Invesco QQQ Trust, Series 1",30.887863,,yfinance
2026-07-21,SPY,State Street SPDR S&P 500 ETF T,26.6931,,yfinance
2026-07-21,VGK,Vanguard FTSEEuropean ETF,18.13255,,yfinance
2026-07-22,EFA,iShares MSCI EAFE ETF,18.875687,,yfinance
2026-07-22,IWM,iShares Russell 2000 Index Fund,18.372362,,yfinance
2026-07-22,MDY,State Street SPDR S&P MIDCAP 40,21.751492,,yfinance
2026-07-22,QQQ,"Invesco QQQ Trust, Series 1",31.460747,,yfinance
2026-07-22,SPY,State Street SPDR S&P 500 ETF T,26.915756,,yfinance
2026-07-23,DIA,State Street SPDR Dow Jones Ind,24.640135,,yfinance
2026-07-23,EEM,iShares MSCI Emerging Index Fun,16.747637,,yfinance
2026-07-23,EFA,iShares MSCI EAFE ETF,18.910152,,yfinance
2026-07-23,EWJ,iShares MSCI Japan Index Fund,18.392975,,yfinance
2026-07-23,IWM,iShares Russell 2000 Index Fund,18.201984,,yfinance
2026-07-23,MDY,State Street SPDR S&P MIDCAP 40,21.74204,,yfinance
2026-07-23,QQQ,"Invesco QQQ Trust, Series 1",31.300108,,yfinance
2026-07-23,SPY,State Street SPDR S&P 500 ETF T,26.88446,,yfinance
2026-07-23,VGK,Vanguard FTSEEuropean ETF,18.42204,,yfinance
2026-07-24,DIA,State Street SPDR Dow Jones Ind,24.393957,,yfinance
2026-07-24,EEM,iShares MSCI Emerging Index Fun,16.647137,,yfinance
2026-07-24,EFA,iShares MSCI EAFE ETF,18.665272,,yfinance
2026-07-24,EWJ,iShares MSCI Japan Index Fund,18.175507,,yfinance
2026-07-24,IWM,iShares Russell 2000 Index Fund,18.096659,,yfinance
2026-07-24,MDY,State Street SPDR S&P MIDCAP 40,21.67273,,yfinance
2026-07-24,QQQ,"Invesco QQQ Trust, Series 1",30.705925,,yfinance
2026-07-24,SPY,State Street SPDR S&P 500 ETF T,26.552456,,yfinance
2026-07-24,VGK,Vanguard FTSEEuropean ETF,18.161499,,yfinance
2026-07-25,DIA,State Street SPDR Dow Jones Ind,24.512085,,yfinance
2026-07-25,EEM,iShares MSCI Emerging Index Fun,16.319864,,yfinance
2026-07-25,EFA,iShares MSCI EAFE ETF,18.757784,,yfinance
2026-07-25,EWJ,iShares MSCI Japan Index Fund,18.197453,,yfinance
2026-07-25,IWM,iShares Russell 2000 Index Fund,18.03966,,yfinance
2026-07-25,MDY,State Street SPDR S&P MIDCAP 40,21.760313,,yfinance
2026-07-25,QQQ,"Invesco QQQ Trust, Series 1",30.362904,,yfinance
2026-07-25,SPY,State Street SPDR S&P 500 ETF T,26.579433,,yfinance
2026-07-25,VGK,Vanguard FTSEEuropean ETF,18.281431,,yfinance
2026-07-26,DIA,State Street SPDR Dow Jones Ind,24.512085,,yfinance
2026-07-26,EEM,iShares MSCI Emerging Index Fun,16.319864,,yfinance
2026-07-26,EFA,iShares MSCI EAFE ETF,18.757784,,yfinance
2026-07-26,EWJ,iShares MSCI Japan Index Fund,18.197453,,yfinance
2026-07-26,IWM,iShares Russell 2000 Index Fund,18.03966,,yfinance
2026-07-26,MDY,State Street SPDR S&P MIDCAP 40,21.760313,,yfinance
2026-07-26,QQQ,"Invesco QQQ Trust, Series 1",30.362904,,yfinance
2026-07-26,SPY,State Street SPDR S&P 500 ETF T,26.579433,,yfinance
2026-07-26,VGK,Vanguard FTSEEuropean ETF,18.281431,,yfinance
2026-07-27,DIA,State Street SPDR Dow Jones Ind,24.512085,,yfinance
2026-07-27,EEM,iShares MSCI Emerging Index Fun,16.319864,,yfinance
2026-07-27,EFA,iShares MSCI EAFE ETF,18.757784,,yfinance
2026-07-27,EWJ,iShares MSCI Japan Index Fund,18.197453,,yfinance
2026-07-27,IWM,iShares Russell 2000 Index Fund,18.03966,,yfinance
2026-07-27,MDY,State Street SPDR S&P MIDCAP 40,21.760313,,yfinance
2026-07-27,QQQ,"Invesco QQQ Trust, Series 1",30.362904,,yfinance
2026-07-27,SPY,State Street SPDR S&P 500 ETF T,26.579433,,yfinance
2026-07-27,VGK,Vanguard FTSEEuropean ETF,18.281431,,yfinance
2026-07-28,EFA,iShares MSCI EAFE ETF,18.848478,,yfinance
2026-07-28,IWM,iShares Russell 2000 Index Fund,18.147463,,yfinance
2026-07-28,MDY,State Street SPDR S&P MIDCAP 40,21.82773,,yfinance
2026-07-28,QQQ,"Invesco QQQ Trust, Series 1",30.269272,,yfinance
2026-07-28,SPY,State Street SPDR S&P 500 ETF T,26.58519,,yfinance
2026-07-29,DIA,State Street SPDR Dow Jones Ind,24.896238,,yfinance
2026-07-29,EEM,iShares MSCI Emerging Index Fun,16.069899,,yfinance
2026-07-29,EFA,iShares MSCI EAFE ETF,18.84485,,yfinance
2026-07-29,EWJ,iShares MSCI Japan Index Fund,17.922127,,yfinance
2026-07-29,IWM,iShares Russell 2000 Index Fund,18.175962,,yfinance
2026-07-29,MDY,State Street SPDR S&P MIDCAP 40,21.83151,,yfinance
2026-07-29,QQQ,"Invesco QQQ Trust, Series 1",29.975063,,yfinance
2026-07-29,SPY,State Street SPDR S&P 500 ETF T,26.648855,,yfinance
2026-07-29,VGK,Vanguard FTSEEuropean ETF,18.45099,,yfinance
2026-07-30,DIA,State Street SPDR Dow Jones Ind,24.353792,,yfinance
2026-07-30,EEM,iShares MSCI Emerging Index Fun,15.737471,,yfinance
2026-07-30,EFA,iShares MSCI EAFE ETF,18.750526,,yfinance
2026-07-30,EWJ,iShares MSCI Japan Index Fund,17.82636,,yfinance
2026-07-30,IWM,iShares Russell 2000 Index Fund,17.878574,,yfinance
2026-07-30,MDY,State Street SPDR S&P MIDCAP 40,21.459446,,yfinance
2026-07-30,QQQ,"Invesco QQQ Trust, Series 1",29.364458,,yfinance
2026-07-30,SPY,State Street SPDR S&P 500 ETF T,26.238798,,yfinance
2026-07-30,VGK,Vanguard FTSEEuropean ETF,18.374481,,yfinance
2026-07-31,DIA,State Street SPDR Dow Jones Ind,24.642027,,yfinance
2026-07-31,EEM,iShares MSCI Emerging Index Fun,16.386864,,yfinance
2026-07-31,EFA,iShares MSCI EAFE ETF,19.271122,,yfinance
2026-07-31,EWJ,iShares MSCI Japan Index Fund,18.612436,,yfinance
2026-07-31,IWM,iShares Russell 2000 Index Fund,18.127636,,yfinance
2026-07-31,MDY,State Street SPDR S&P MIDCAP 40,21.649418,,yfinance
2026-07-31,QQQ,"Invesco QQQ Trust, Series 1",30.332727,,yfinance
2026-07-31,SPY,State Street SPDR S&P 500 ETF T,26.678713,,yfinance
2026-07-31,VGK,Vanguard FTSEEuropean ETF,18.814922,,yfinance
2026-08-01,DIA,State Street SPDR Dow Jones Ind,24.774801,,yfinance
2026-08-01,EEM,iShares MSCI Emerging Index Fun,16.51571,,yfinance
2026-08-01,EFA,iShares MSCI EAFE ETF,19.151403,,yfinance
2026-08-01,EWJ,iShares MSCI Japan Index Fund,18.432877,,yfinance
2026-08-01,IWM,iShares Russell 2000 Index Fund,18.04152,,yfinance
2026-08-01,MDY,State Street SPDR S&P MIDCAP 40,21.62201,,yfinance
2026-08-01,QQQ,"Invesco QQQ Trust, Series 1",30.529755,,yfinance
2026-08-01,SPY,State Street SPDR S&P 500 ETF T,26.870794,,yfinance
2026-08-01,VGK,Vanguard FTSEEuropean ETF,18.73221,,yfinance
2026-08-02,EFA,iShares MSCI EAFE ETF,19.151403,,yfinance
2026-08-02,IWM,iShares Russell 2000 Index Fund,18.04152,,yfinance
2026-08-02,MDY,State Street SPDR S&P MIDCAP 40,21.62201,,yfinance
2026-08-02,QQQ,"Invesco QQQ Trust, Series 1",30.529755,,yfinance
2026-08-02,SPY,State Street SPDR S&P 500 ETF T,26.870794,,yfinance
2026-08-03,DIA,State Street SPDR Dow Jones Ind,24.774801,,yfinance
2026-08-03,EEM,iShares MSCI Emerging Index Fun,16.51571,,yfinance
2026-08-03,EFA,iShares MSCI EAFE ETF,19.151403,,yfinance
2026-08-03,EWJ,iShares MSCI Japan Index Fund,18.432877,,yfinance
2026-08-03,IWM,iShares Russell 2000 Index Fund,18.04152,,yfinance
2026-08-03,MDY,State Street SPDR S&P MIDCAP 40,21.62201,,yfinance
2026-08-03,QQQ,"Invesco QQQ Trust, Series 1",30.529755,,yfinance
2026-08-03,SPY,State Street SPDR S&P 500 ETF T,26.870794,,yfinance
2026-08-03,VGK,Vanguard FTSEEuropean ETF,18.73221,,yfinance
2026-08-04,DIA,State Street SPDR Dow Jones Ind,25.100834,,yfinance
2026-08-04,EEM,iShares MSCI Emerging Index Fun,16.574982,,yfinance
2026-08-04,EFA,iShares MSCI EAFE ETF,19.231216,,yfinance
2026-08-04,EWJ,iShares MSCI Japan Index Fund,18.536623,,yfinance
2026-08-04,IWM,iShares Russell 2000 Index Fund,18.352535,,yfinance
2026-08-04,MDY,State Street SPDR S&P MIDCAP 40,21.866798,,yfinance
2026-08-04,QQQ,"Invesco QQQ Trust, Series 1",31.06581,,yfinance
2026-08-04,SPY,State Street SPDR S&P 500 ETF T,27.253515,,yfinance
2026-08-04,VGK,Vanguard FTSEEuropean ETF,18.802517,,yfinance
2026-08-05,EFA,iShares MSCI EAFE ETF,19.467026,,yfinance
2026-08-05,IWM,iShares Russell 2000 Index Fund,18.692673,,yfinance
2026-08-05,MDY,State Street SPDR S&P MIDCAP 40,22.257133,,yfinance
2026-08-05,QQQ,"Invesco QQQ Trust, Series 1",32.12105,,yfinance
2026-08-05,SPY,State Street SPDR S&P 500 ETF T,27.744867,,yfinance
2026-08-06,EFA,iShares MSCI EAFE ETF,19.48698,,yfinance
2026-08-06,IWM,iShares Russell 2000 Index Fund,18.572477,,yfinance
2026-08-06,MDY,State Street SPDR S&P MIDCAP 40,22.115364,,yfinance
2026-08-06,QQQ,"Invesco QQQ Trust, Series 1",31.830395,,yfinance
2026-08-06,SPY,State Street SPDR S&P 500 ETF T,27.689472,,yfinance
2026-08-07,DIA,State Street SPDR Dow Jones Ind,22.353655,,yfinance
2026-08-07,EEM,iShares MSCI Emerging Index Fun,16.871914,,yfinance
2026-08-07,EFA,iShares MSCI EAFE ETF,18.90073,,yfinance
2026-08-07,EWJ,iShares MSCI Japan Index Fund,19.684269,,yfinance
2026-08-07,IWM,iShares Russell 2000 Index Fund,18.491716,,yfinance
2026-08-07,MDY,State Street SPDR S&P MIDCAP 40,22.03944,,yfinance
2026-08-07,QQQ,"Invesco QQQ Trust, Series 1",30.558592,,yfinance
2026-08-07,SPY,State Street SPDR S&P 500 ETF T,25.89053,,yfinance
2026-08-08,DIA,State Street SPDR Dow Jones Ind,22.41305,,yfinance
2026-08-08,EEM,iShares MSCI Emerging Index Fun,17.032797,,yfinance
2026-08-08,EFA,iShares MSCI EAFE ETF,19.11023,,yfinance
2026-08-08,EWJ,iShares MSCI Japan Index Fund,20.0463,,yfinance
2026-08-08,IWM,iShares Russell 2000 Index Fund,18.69694,,yfinance
2026-08-08,MDY,State Street SPDR S&P MIDCAP 40,22.341566,,yfinance
2026-08-08,QQQ,"Invesco QQQ Trust, Series 1",30.916922,,yfinance
2026-08-08,SPY,State Street SPDR S&P 500 ETF T,26.048859,,yfinance
2026-08-08,VGK,Vanguard FTSEEuropean ETF,19.147839,,yfinance
2026-08-09,DIA,State Street SPDR Dow Jones Ind,22.41305,,yfinance
2026-08-09,EEM,iShares MSCI Emerging Index Fun,17.032797,,yfinance
2026-08-09,EFA,iShares MSCI EAFE ETF,19.11023,,yfinance
2026-08-09,EWJ,iShares MSCI Japan Index Fund,20.0463,,yfinance
2026-08-09,IWM,iShares Russell 2000 Index Fund,18.69694,,yfinance
2026-08-09,MDY,State Street SPDR S&P MIDCAP 40,22.341566,,yfinance
2026-08-09,QQQ,"Invesco QQQ Trust, Series 1",30.916922,,yfinance
2026-08-09,SPY,State Street SPDR S&P 500 ETF T,26.048859,,yfinance
2026-08-10,DIA,State Street SPDR Dow Jones Ind,22.41305,,yfinance
2026-08-10,EEM,iShares MSCI Emerging Index Fun,17.032797,,yfinance
2026-08-10,EFA,iShares MSCI EAFE ETF,19.11023,,yfinance
2026-08-10,EWJ,iShares MSCI Japan Index Fund,20.0463,,yfinance
2026-08-10,IWM,iShares Russell 2000 Index Fund,18.69694,,yfinance
2026-08-10,MDY,State Street SPDR S&P MIDCAP 40,22.341566,,yfinance
2026-08-10,QQQ,"Invesco QQQ Trust, Series 1",30.916922,,yfinance
2026-08-10,SPY,State Street SPDR S&P 500 ETF T,26.048859,,yfinance
2026-08-11,DIA,State Street SPDR Dow Jones Ind,22.386883,,yfinance
2026-08-11,EEM,iShares MSCI Emerging Index Fun,16.910837,,yfinance
2026-08-11,EFA,iShares MSCI EAFE ETF,19.015163,,yfinance
2026-08-11,EWJ,iShares MSCI Japan Index Fund,19.870457,,yfinance
2026-08-11,IWM,iShares Russell 2000 Index Fund,18.598978,,yfinance
2026-08-11,MDY,State Street SPDR S&P MIDCAP 40,22.272886,,yfinance
2026-08-11,QQQ,"Invesco QQQ Trust, Series 1",30.824558,,yfinance
2026-08-11,SPY,State Street SPDR S&P 500 ETF T,26.041111,,yfinance
2026-08-11,VGK,Vanguard FTSEEuropean ETF,19.077534,,yfinance
2026-08-12,DIA,State Street SPDR Dow Jones Ind,22.315859,,yfinance
2026-08-12,EEM,iShares MSCI Emerging Index Fun,16.978304,,yfinance
2026-08-12,EFA,iShares MSCI EAFE ETF,19.029245,,yfinance
2026-08-12,EWJ,iShares MSCI Japan Index Fund,19.918037,,yfinance
2026-08-12,IWM,iShares Russell 2000 Index Fund,18.661598,,yfinance
2026-08-12,MDY,State Street SPDR S&P MIDCAP 40,22.3381,,yfinance
2026-08-12,QQQ,"Invesco QQQ Trust, Series 1",30.721079,,yfinance
2026-08-12,SPY,State Street SPDR S&P 500 ETF T,25.957903,,yfinance
2026-08-12,VGK,Vanguard FTSEEuropean ETF,19.085806,,yfinance
2026-08-13,DIA,State Street SPDR Dow Jones Ind,22.31046,,yfinance
2026-08-13,EEM,iShares MSCI Emerging Index Fun,17.245577,,yfinance
2026-08-13,EFA,iShares MSCI EAFE ETF,19.101427,,yfinance
2026-08-13,EWJ,iShares MSCI Japan Index Fund,20.230421,,yfinance
2026-08-13,IWM,iShares Russell 2000 Index Fund,18.76824,,yfinance
2026-08-13,MDY,State Street SPDR S&P MIDCAP 40,22.422216,,yfinance
2026-08-13,QQQ,"Invesco QQQ Trust, Series 1",30.94557,,yfinance
2026-08-13,SPY,State Street SPDR S&P 500 ETF T,26.022919,,yfinance
2026-08-13,VGK,Vanguard FTSEEuropean ETF,19.075466,,yfinance
2026-08-14,DIA,State Street SPDR Dow Jones Ind,22.342024,,yfinance
2026-08-14,EEM,iShares MSCI Emerging Index Fun,17.302666,,yfinance
2026-08-14,EFA,iShares MSCI EAFE ETF,19.134876,,yfinance
2026-08-14,EWJ,iShares MSCI Japan Index Fund,20.371098,,yfinance
2026-08-14,IWM,iShares Russell 2000 Index Fund,18.81722,,yfinance
2026-08-14,MDY,State Street SPDR S&P MIDCAP 40,22.512949,,yfinance
2026-08-14,QQQ,"Invesco QQQ Trust, Series 1",31.303474,,yfinance
2026-08-14,SPY,State Street SPDR S&P 500 ETF T,26.204493,,yfinance
2026-08-15,DIA,State Street SPDR Dow Jones Ind,22.295921,,yfinance
2026-08-15,EEM,iShares MSCI Emerging Index Fun,17.2845,,yfinance
2026-08-15,EFA,iShares MSCI EAFE ETF,19.126074,,yfinance
2026-08-15,EWJ,iShares MSCI Japan Index Fund,20.317308,,yfinance
2026-08-15,IWM,iShares Russell 2000 Index Fund,18.915802,,yfinance
2026-08-15,MDY,State Street SPDR S&P MIDCAP 40,22.585724,,yfinance
2026-08-15,QQQ,"Invesco QQQ Trust, Series 1",31.260714,,yfinance
2026-08-15,SPY,State Street SPDR S&P 500 ETF T,26.152615,,yfinance
2026-08-16,DIA,State Street SPDR Dow Jones Ind,22.295921,,yfinance
2026-08-16,EEM,iShares MSCI Emerging Index Fun,17.2845,,yfinance
2026-08-16,EFA,iShares MSCI EAFE ETF,19.126074,,yfinance
2026-08-16,EWJ,iShares MSCI Japan Index Fund,20.317308,,yfinance
2026-08-16,IWM,iShares Russell 2000 Index Fund,18.915802,,yfinance
2026-08-16,MDY,State Street SPDR S&P MIDCAP 40,22.585724,,yfinance
2026-08-16,QQQ,"Invesco QQQ Trust, Series 1",31.260714,,yfinance
2026-08-16,SPY,State Street SPDR S&P 500 ETF T,26.152615,,yfinance
2026-08-17,DIA,State Street SPDR Dow Jones Ind,22.295921,,yfinance
2026-08-17,EEM,iShares MSCI Emerging Index Fun,17.2845,,yfinance
2026-08-17,EFA,iShares MSCI EAFE ETF,19.126074,,yfinance
2026-08-17,EWJ,iShares MSCI Japan Index Fund,20.317308,,yfinance
2026-08-17,IWM,iShares Russell 2000 Index Fund,18.915802,,yfinance
2026-08-17,MDY,State Street SPDR S&P MIDCAP 40,22.585724,,yfinance
2026-08-17,QQQ,"Invesco QQQ Trust, Series 1",31.260714,,yfinance
2026-08-17,SPY,State Street SPDR S&P 500 ETF T,26.152615,,yfinance
2026-08-18,DIA,State Street SPDR Dow Jones Ind,22.187515,,yfinance
2026-08-18,EEM,iShares MSCI Emerging Index Fun,17.468737,,yfinance
2026-08-18,EFA,iShares MSCI EAFE ETF,19.092625,,yfinance
2026-08-18,EWJ,iShares MSCI Japan Index Fund,20.309034,,yfinance
2026-08-18,IWM,iShares Russell 2000 Index Fund,18.85194,,yfinance
2026-08-18,MDY,State Street SPDR S&P MIDCAP 40,22.536577,,yfinance
2026-08-18,QQQ,"Invesco QQQ Trust, Series 1",31.2094,,yfinance
2026-08-18,SPY,State Street SPDR S&P 500 ETF T,26.028982,,yfinance
2026-08-18,VGK,Vanguard FTSEEuropean ETF,19.044449,,yfinance
