name,asset_class,asset_subclass,region,country_market,sector_style,market_cap_focus,maturity_focus,credit_quality,commodity_group,base_currency,hedged,hedge_currency,proxy_flag,proxy_type,data_source,validation_status,ticker_yfinance_pr,ticker_yfinance_tr,ticker_investiny,ticker_fred_tr,ticker_fred_yield,ticker_fred_oas,ticker_fred_spread,ticker_fred_duration,data_start
Italy Government Bond Index (USD Hedged),Fixed Income,Govt Bond,Europe,Italy,N/A,N/A,,Government,N/A,EUR,TRUE,USD,TRUE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
Australia Government Bond Index,Fixed Income,Govt Bond,Asia Pacific,Australia,N/A,N/A,,Government,N/A,AUD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,IAF.AX,,,,,,,14/03/2012
Australia Government Bond Index (USD Hedged),Fixed Income,Govt Bond,Asia Pacific,Australia,N/A,N/A,,Government,N/A,AUD,TRUE,USD,TRUE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
China Government Bond Index (CGBs),Fixed Income,Govt Bond,Asia Pacific,China,N/A,N/A,,Government,N/A,CNY,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,CNYB.L,,,,,,,24/07/2019
China Government Bond Index (USD Hedged),Fixed Income,Govt Bond,Asia Pacific,China,N/A,N/A,,Government,N/A,CNY,TRUE,USD,TRUE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
India Government Bond Index,Fixed Income,Govt Bond,Asia Pacific,India,N/A,N/A,,Government,N/A,INR,FALSE,N/A,TRUE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
India Government Bond Index (USD Hedged),Fixed Income,Govt Bond,Asia Pacific,India,N/A,N/A,,Government,N/A,INR,TRUE,USD,TRUE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
Brazil Government Bond Index (Tesouro Nacional),Fixed Income,Govt Bond,Latin America,Brazil,N/A,N/A,,Government,N/A,BRL,FALSE,N/A,TRUE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
Brazil Government Bond Index (USD Hedged),Fixed Income,EM Bond,Emerging Markets,Emerging Markets,N/A,N/A,Broad,EMD,N/A,BRL,TRUE,USD,TRUE,ETF,yfinance TR,CONFIRMED,,EMB,,,,,,,19/12/2007
South Korea Government Bond Index (KTBs),Fixed Income,Govt Bond,Asia Pacific,South Korea,N/A,N/A,,Government,N/A,KRW,FALSE,N/A,TRUE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
South Korea Government Bond Index (USD Hedged),Fixed Income,EM Bond,Emerging Markets,Emerging Markets,N/A,N/A,Broad,EMD,N/A,KRW,TRUE,USD,TRUE,ETF,yfinance TR,CONFIRMED,,EMB,,,,,,,19/12/2007
Mexico Government Bond Index (Bonos M),Fixed Income,Govt Bond,Latin America,Mexico,N/A,N/A,,Government,N/A,MXN,FALSE,N/A,TRUE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
Mexico Government Bond Index (USD Hedged),Fixed Income,EM Bond,Emerging Markets,Emerging Markets,N/A,N/A,Broad,EMD,N/A,MXN,TRUE,USD,TRUE,ETF,yfinance TR,CONFIRMED,,EMB,,,,,,,19/12/2007
Indonesia Government Bond Index (SBN),Fixed Income,Govt Bond,Asia Pacific,Indonesia,N/A,N/A,,Government,N/A,IDR,FALSE,N/A,TRUE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
Indonesia Government Bond Index (USD Hedged),Fixed Income,EM Bond,Emerging Markets,Emerging Markets,N/A,N/A,Broad,EMD,N/A,IDR,TRUE,USD,TRUE,ETF,yfinance TR,CONFIRMED,,EMB,,,,,,,19/12/2007
Saudi Arabia Government Bond / Sukuk Index,Fixed Income,Govt Bond,Middle East & Africa,Saudi Arabia,N/A,N/A,,Government,N/A,SAR,FALSE,N/A,TRUE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
Saudi Arabia Government Bond / Sukuk Index (USD Hedged),Fixed Income,EM Bond,Emerging Markets,Emerging Markets,N/A,N/A,Broad,EMD,N/A,SAR,TRUE,USD,TRUE,ETF,yfinance TR,CONFIRMED,,EMB,,,,,,,19/12/2007
South Africa Government Bond Index,Fixed Income,Govt Bond,Middle East & Africa,South Africa,N/A,N/A,,Government,N/A,ZAR,FALSE,N/A,TRUE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
South Africa Government Bond Index (USD Hedged),Fixed Income,EM Bond,Emerging Markets,Emerging Markets,N/A,N/A,Broad,EMD,N/A,ZAR,TRUE,USD,TRUE,ETF,yfinance TR,CONFIRMED,,EMB,,,,,,,19/12/2007
Turkey Government Bond Index,Fixed Income,Govt Bond,Europe,Turkey,N/A,N/A,,Government,N/A,TRY,FALSE,N/A,TRUE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
Turkey Government Bond Index (USD Hedged),Fixed Income,EM Bond,Emerging Markets,Emerging Markets,N/A,N/A,Broad,EMD,N/A,TRY,TRUE,USD,TRUE,ETF,yfinance TR,CONFIRMED,,EMB,,,,,,,19/12/2007
Argentina Government Bond Index,Fixed Income,Govt Bond,Latin America,Argentina,N/A,N/A,,Government,N/A,ARS,FALSE,N/A,TRUE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
Argentina Government Bond Index (USD Hedged),Fixed Income,EM Bond,Emerging Markets,Emerging Markets,N/A,N/A,Broad,EMD,N/A,ARS,TRUE,USD,TRUE,ETF,yfinance TR,CONFIRMED,,EMB,,,,,,,19/12/2007
ICE BofA Global Corporate Bond Index,Fixed Income,Corp IG,Global,Global,N/A,N/A,Broad,Corp IG,N/A,USD,FALSE,N/A,TRUE,ETF,FRED,CONFIRMED,,VCIT,,BAMLCC0A0CMTRIV,,,,,23/11/2009
ICE BofA Global Corporate Bond Index (USD Hedged),Fixed Income,Corp IG,Global,Global,N/A,N/A,,Corp IG,N/A,USD,TRUE,USD,TRUE,FRED,FRED,CONFIRMED,,,,BAMLCC0A0CMTRIV,,,,,31/12/1972
ICE BofA Euro Corporate Bond Index,Fixed Income,Corp IG,Europe,Europe,N/A,N/A,,Corp IG,N/A,EUR,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,IBCX.L,,,,,,,02/01/2008
ICE BofA Euro Corporate Bond Index (USD Hedged),Fixed Income,Corp IG,Europe,Europe,N/A,N/A,,Corp IG,N/A,EUR,TRUE,USD,TRUE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
ICE BofA Global High Yield Bond Index,Fixed Income,Corp HY,Global,Global,N/A,N/A,Broad,High Yield,N/A,USD,FALSE,N/A,TRUE,ETF,FRED,CONFIRMED,,JNK,,BAMLHYH0A0HYM2TRIV,,,,,04/12/2007
ICE BofA Global High Yield Bond Index (USD Hedged),Fixed Income,Corp HY,Global,Global,N/A,N/A,,High Yield,N/A,USD,TRUE,USD,TRUE,ETF,yfinance TR,CONFIRMED,,HYLH.L,,,,,,,20/01/2026
ICE BofA Euro High Yield Bond Index,Fixed Income,Corp HY,Europe,Europe,N/A,N/A,,High Yield,N/A,EUR,FALSE,N/A,TRUE,ETF,FRED,CONFIRMED,,IHYG.L,,BAMLHE00EHYITRIV,,,,,03/09/2010
ICE BofA Euro High Yield Bond Index (USD Hedged),Fixed Income,Corp HY,Europe,Europe,N/A,N/A,Broad,High Yield,N/A,EUR,TRUE,USD,TRUE,ETF,yfinance TR,CONFIRMED,,HYXU,,,,,,,03/04/2012
JP Morgan  USD Emerging Market Debt,Fixed Income,EM Bond,Emerging Markets,Emerging Markets,N/A,N/A,Broad,EMD,N/A,USD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,EMB,,,,,,,19/12/2007
FTSE International Government Inflation-Protected Bond Index (USD Hedged),Fixed Income,Government Inflation-Linked,Global,Global,N/A,N/A,,Government,N/A,USD,TRUE,USD,TRUE,ETF,yfinance TR,CONFIRMED,,WIP,,,,,,,19/03/2008
CBOE GVZ - Gold Volatility Index,Commodity,Commodity,North America,United States,N/A,N/A,N/A,N/A,Precious Metals,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^GVZ,,,,,,,,03/06/2008
CBOE OVX - Crude Oil Volatility,Commodity,Commodity,North America,United States,N/A,N/A,N/A,N/A,Energy,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^OVX,,,,,,,,10/05/2007
WTI Crude Oil,Commodity,Commodity,North America,United States,N/A,N/A,N/A,N/A,Energy,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,CL=F,,,,,,,,23/08/2000
Brent Crude Oil,Commodity,Commodity,North America,United States,N/A,N/A,N/A,N/A,Energy,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,BZ=F,,,,,,,,30/07/2007
Natural Gas (Henry Hub),Commodity,Commodity,North America,United States,N/A,N/A,N/A,N/A,Energy,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,NG=F,,,,,,,,30/08/2000
Gasoline (RBOB),Commodity,Commodity,North America,United States,N/A,N/A,N/A,N/A,Energy,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,RB=F,,,,,,,,01/11/2000
Heating Oil,Commodity,Commodity,North America,United States,N/A,N/A,N/A,N/A,Energy,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,HO=F,,,,,,,,01/09/2000
Gold,Commodity,Commodity,North America,United States,N/A,N/A,N/A,N/A,Precious Metals,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,GC=F,,,,,,,,30/08/2000
Silver,Commodity,Commodity,North America,United States,N/A,N/A,N/A,N/A,Precious Metals,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,SI=F,,,,,,,,30/08/2000
Copper,Commodity,Commodity,North America,United States,N/A,N/A,N/A,N/A,Industrial Metals,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,HG=F,,,,,,,,30/08/2000
Aluminium,Commodity,Commodity,North America,United States,N/A,N/A,N/A,N/A,Industrial Metals,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,ALI=F,,,,,,,,06/05/2014
Soybeans,Commodity,Commodity,North America,United States,N/A,N/A,N/A,N/A,Agriculture,USX,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,ZS=F,,,,,,,,15/09/2000
Corn,Commodity,Commodity,North America,United States,N/A,N/A,N/A,N/A,Agriculture,USX,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,ZC=F,,,,,,,,17/07/2000
Wheat,Commodity,Commodity,North America,United States,N/A,N/A,N/A,N/A,Agriculture,USX,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,ZW=F,,,,,,,,17/07/2000
Sugar No. 11,Commodity,Commodity,North America,United States,N/A,N/A,N/A,N/A,Agriculture,USX,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,SB=F,,,,,,,,01/03/2000
Cotton No. 2,Commodity,Commodity,North America,United States,N/A,N/A,N/A,N/A,Agriculture,USX,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,CT=F,,,,,,,,03/01/2000
Coffee (Arabica),Commodity,Commodity,North America,United States,N/A,N/A,N/A,N/A,Agriculture,USX,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,KC=F,,,,,,,,03/01/2000
Cocoa,Commodity,Commodity,North America,United States,N/A,N/A,N/A,N/A,Agriculture,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,CC=F,,,,,,,,03/01/2000
Live Cattle,Commodity,Commodity,North America,United States,N/A,N/A,N/A,N/A,Agriculture,USX,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,LE=F,,,,,,,,01/03/2001
Iron Ore (World Bank Price Index),Commodity,Commodity,Global,Industrial Metals,N/A,N/A,N/A,N/A,Industrial Metals,USD,FALSE,N/A,TRUE,Price Series,FRED,CONFIRMED,,,,PIORECRUSDM,,,,,01/01/2015
Invesco DB Energy Fund,Commodity,Commodity,North America,United States,N/A,N/A,N/A,N/A,Energy,USD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,DBE,,,,,,,05/01/2007
Invesco DB Precious Metals Fund,Commodity,Commodity,North America,United States,N/A,N/A,N/A,N/A,Precious Metals,USD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,DBP,,,,,,,05/01/2007
Invesco DB Base Metals Fund,Commodity,Commodity,North America,United States,N/A,N/A,N/A,N/A,Industrial Metals,USD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,DBB,,,,,,,05/01/2007
Invesco DB Agriculture Fund,Commodity,Commodity,North America,United States,N/A,N/A,N/A,N/A,Agriculture,USD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,DBA,,,,,,,05/01/2007
Invesco DB Commodity Index Fund,Commodity,Commodity,North America,United States,N/A,N/A,N/A,N/A,Broad,USD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,DBC,,,,,,,06/02/2006
