name,asset_class,asset_subclass,region,country_market,sector_style,market_cap_focus,maturity_focus,credit_quality,commodity_group,base_currency,hedged,hedge_currency,proxy_flag,proxy_type,data_source,validation_status,ticker_yfinance_pr,ticker_yfinance_tr,ticker_investiny,ticker_fred_tr,ticker_fred_yield,ticker_fred_oas,ticker_fred_spread,ticker_fred_duration,data_start
TOPIX Index,Equity,Equity Broad,Japan,Japan,N/A,Broad,N/A,N/A,N/A,JPY,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^TOPX,1306.T,,,,,,,04/01/2008
S&P/TSX Composite,Equity,Equity Broad,North America,Canada,N/A,Broad,N/A,N/A,N/A,CAD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^GSPTSE,XIU.TO,,,,,,,29/06/1979
S&P/TSX 60,Equity,,North America,Canada,N/A,N/A,N/A,N/A,N/A,CAD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^TX60,XIU.TO,,,,,,,04/10/1999
S&P/TSX SmallCap,Equity,Equity Small Cap,North America,Canada,N/A,Small,N/A,N/A,N/A,CAD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^TSXV,XCS.TO,,,,,,,18/05/2007
S&P/ASX 200,Equity,,Asia Pacific,Australia,N/A,N/A,N/A,N/A,N/A,AUD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^AXJO,IOZ.AX,,,,,,,23/11/1992
S&P/ASX All Ordinaries,Equity,,Asia Pacific,Australia,N/A,N/A,N/A,N/A,N/A,AUD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^AORD,VAS.AX,,,,,,,03/08/1984
S&P/ASX Small Ordinaries,Equity,,Asia Pacific,Australia,N/A,N/A,N/A,N/A,N/A,AUD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^AXSO,SSO.AX,,,,,,,03/05/2004
Shanghai Composite,Equity,Equity Broad,Asia Pacific,China,N/A,Broad,N/A,N/A,N/A,CNY,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,000001.SS,,,,,,,,02/07/1997
CSI 300 Index,Equity,,Asia Pacific,China,N/A,N/A,N/A,N/A,N/A,CNY,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,000300.SS,ASHR,,,,,,,11/03/2021
CSI 500 Index,Equity,,Asia Pacific,China,N/A,N/A,N/A,N/A,N/A,CNY,FALSE,N/A,FALSE,N/A,yfinance PR,UNAVAILABLE,000905.SS,,,,,,,,
CSI 1000 Index,Equity,,Asia Pacific,China,N/A,N/A,N/A,N/A,N/A,CNY,FALSE,N/A,FALSE,N/A,yfinance PR,UNAVAILABLE,000852.SS,,,,,,,,
Hang Seng Index,Equity,,Asia Pacific,Hong Kong,N/A,N/A,N/A,N/A,N/A,HKD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^HSI,2800.HK,,,,,,,31/12/1986
